ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	ALIGNMENT	COGID	COGIDS	MORPHEMES	COGNACY	BORROWING	NOTE
12454	Apurinã	FISH	ʃimakɨ	ʃimakɨ	ʃ i m a k ɨ	ʃ i m a k ɨ	1715	1707	FISH			
13396	Katawishi	FISH	abidiha	abidiha	a b i d i h a	a b i d i h a	2096	2105	FISH			
5	Arawa	HOUSE	zami	zami	z a m i	z a m i - -	254	254	HOUSE			
237	Banawa	HOUSE	tabora	tabora	t a b o r a	t a b o r a	370	408	BED			
365	Deni	HOUSE	jamari	jamari	j a m a r i	j a m a r i	254	254	HOUSE			
842	Jamamadi	HOUSE	tabora	tabora	t a b o r a	t a b o r a	370	408	BED			
1200	Jarawara	HOUSE	tabora	tabora	t a b o r a	t a b o r a	370	408	BED			
1990	Sorowaha	HOUSE	uuda	uuda	uː d a	uː d a	1272	1272	HOUSE			
10325	Katawishi	HOUSE	kah	kah	k a h	k a h	863	821	HOUSE			
10398	Amarakaeri	HOUSE	hak	hak	h a k	- - h a k	922	881	HOUSE			
10630	Proto-Arawan	HOUSE	jamari	jamari	j a m a r i	j a m a r i	254	254	HOUSE			
10965	Paumari	HOUSE	gora	gora	g o r a	g o r a	1023	979	HOUSE			
11211	Banawa	HOUSE	jobe	jobe	j o b e	j o b e	1130	1087	HOUSE			
12013	Arasairi	HOUSE	jahak	jahak	h a h a k	h a h a k - -	922	881	HOUSE			
12263	Kulina	HOUSE	ni / oza	ni	n i	n i	1577	1558	HOME			
12264	Kulina	HOUSE	ni / oza	oza	o z a	o z a	1711	1704	HOUSE			
12455	Apurinã	HOUSE	aiko	aiko	ai k o	ai k o	1714	1708	HOUSE			
12884	Toyeri	HOUSE	hakjo	hakjo	h a k + j o	h a k + j o	922	881 1630	HOUSE _LOCATIVE			
12885	Sapiteri	HOUSE	hakjo	hakjo	h a k + j o	h a k + j o	922	881 1630	HOUSE _LOCATIVE			
14041	KatukinaBiá	HOUSE	hak	hak	h a k	h a k	922	881	HOUSE			
6	Arawa	LAKE	daku	daku	d a k u	- d a k u	355	174	LAKE			
374	Deni	LAKE	korija	korija	k o r i j a	k o r i j a	46	46	LAKE			
1004	Jarawara	LAKE	wara	wara	w a r a	- w a r a	1117	539	LAKE			
1366	Kulina	LAKE	koɾija / koɾidza	koɾija	k o ɾ i j a	k o ɾ i j a	46	46	LAKE		YES	Of Arawakan origin
1367	Kulina	LAKE	koɾija / koɾidza	koɾidza	k o ɾ i dz a	k o ɾ i dz a	46	46	LAKE		YES	Of Arawakan origin
1680	Paumari	LAKE	ɗako	ɗako	ɗ a k o	- ɗ a k o	355	174	LAKE			
5192	Sorowaha	LAKE	taki	taki	t a k i	- t a k i	355	174	LAKE			
10562	Proto-Arawan	LAKE	ɗako	ɗako	ɗ a k o	- ɗ a k o	355	174	LAKE			
11855	Paumari_1833	LAKE	daku	daku	d a k u	d a k u	355	174	LAKE			
12014	Arasairi	LAKE	bajako	bajako	b a h a k o	b a h a k o	355	2144	LAKE			
12456	Apurinã	LAKE	ipowa	ipowa	i p o w a	i p o w a	1716	1709	LAKE			
12588	Jamamadi	LAKE	wara	wara	w a r a	w a r a	1117	539	LAKE			
12886	Sapiteri	LAKE	bajako	bajako	mb a j a k o	mb a j a k o	355	174	LAKE			
13392	Katawishi	LAKE	kapisha han	kapisha han	k a p i ʃ a + h a n	k a p i ʃ a + h a n	2092	2098	LAKE			
13639	Amarakaeri	LAKE	emaponge	emaponge	e + m a p o ŋ e	e + m a p o ŋ e	355	1603 2144	_NOMINALIZER LAKE			
7	Arawa	MAN	makuidá	makuidá	m a k u i d a	- m a k u i d a	289	289	MAN.(ADULT.MALE)			
98	Banawa	MAN	maki	maki	m a k i	m a k i	289	289	MAN.(ADULT.MALE)			
383	Deni	MAN	makhi / dzabitsu	dzabitsu	dz a b i ts u	dz a b i ts u	384	365	MAN.(ADULT.MALE)			
384	Deni	MAN	makhi / dzabitsu	makhi	m a kʰ i	- m a kʰ i - -	289	289	MAN.(ADULT.MALE)			
698	Jamamadi	MAN	makiti	maki	m a k i t i	- m a k i t i	289	289	MAN.(ADULT.MALE)			
1010	Jarawara	MAN	makiti	maki	m a k i t i	- m a k i t i	289	289	MAN.(ADULT.MALE)			
1374	Kulina	MAN	makʰi	makʰi	m a kʰ i	- m a kʰ i - -	289	289	MAN.(ADULT.MALE)			
1689	Paumari	MAN	makhira	makhira	m a kʰ i r a	- m a kʰ i r a	289	289	MAN.(ADULT.MALE)			
1877	Sorowaha	MAN	imeki	imeki	i m e k i	i m e k i - -	289	289	MAN.(ADULT.MALE)			
10305	Katawishi	MAN	bøtso	bøtso	b ø ts o	b ø ts o	384	365	MAN.(ADULT.MALE)			
10721	Proto-Arawan	MAN	makhira	makhira	m a kʰ i r a	m a kʰ i r a	289	289	MAN.(ADULT.MALE)			
11814	Paumari	MAN	makhira	makhira	m a kʰ i r a	m a kʰ i r a	289	289	MAN.(ADULT.MALE)			
12015	Arasairi	MAN	uambokere / uambukarit	uambokere	u a + mb o k e r e	u a + mb o k e r e	1483	532 1463	_NOMINALIZER MAN.(ADULT.MALE)			
12016	Arasairi	MAN	uambokere / uambukarit	uambukarit	u a + mb u k a r i t	u a + mb u k a r i t	1483	532 1463	_NOMINALIZER MAN.(ADULT.MALE)			
12457	Apurinã	MAN	kuku	kuku	k ɨ k ɨ	k ɨ k ɨ	1717	1710	MAN.(ADULT.MALE)			
13528	Amarakaeri	MAN	wambokerek / mbokerek	wambokerek	w a + mb o + k e r e k	w a + mb o + k e r e k	1483	532 1463 1929	_NOMINALIZER STAND GROW			
13529	Amarakaeri	MAN	wambokerek / mbokerek	mbokerek	mb o + k e r e k	mb o + k e r e k	1483	1463 1929	STAND GROW			
14015	KatukinaBiá	MAN	piia	piia	p i j a	p i j a	2491	2451	MAN.(ADULT.MALE)			
8	Arawa	MOON	masiko	masiko	m a s i k o	- m a s i k o	202	203	MOON			
103	Banawa	MOON	abariko	abariko	a b a r i k o	a b a r i k o	202	203	MOON			
389	Deni	MOON	abajiko	abajiko	a b a j i k o	a b a j i k o	202	203	MOON			
703	Jamamadi	MOON	abariko	abariko	a b a r i k o	a b a r i k o	202	203	MOON			
1016	Jarawara	MOON	abariko	abariko	a b a r i k o	a b a r i k o	202	203	MOON			
1383	Kulina	MOON	abajiko	abajiko	a b a j i k o	a b a j i k o	202	203	MOON			
1815	Paumari	MOON	masiko	masiko	m a s i k o	- m a s i k o	202	203	MOON			
1973	Sorowaha	MOON	masiki	masiki	m a s i k i	- m a s i k i	202	203	MOON			
10328	Katawishi	MOON	kweji	kweji	kw e j i	kw e j i	931	891	MOON			
10409	Kanamari	MOON	wadʒa	wadʒa	w a dʒ a	w a dʒ a	931	891	MOON			
10410	Amarakaeri	MOON	puugn	puugn	p u u gŋ	p u u gŋ	932	892	MOON			
10726	Proto-Arawan	MOON	masiko	masiko	m a s i k o	m a s i k o	202	203	MOON			
11833	Paumari_1833	MOON	masiku	masiku	m a s i k u	m a s i k u	202	203	MOON			
12017	Arasairi	MOON	pøjen	pøjen	p ø h e n	p ø h e n	932	892	MOON			
12458	Apurinã	MOON	kasuru	kasuru	k a s ɨ r ɨ	k a s ɨ r ɨ	1718	1711	MOON			
12887	Toyeri	MOON	sedⁿ	sedⁿ	s e dⁿ	s e dⁿ	1934	1912	MOON			
12888	Sapiteri	MOON	pʉhʉgⁿ	pʉhʉgⁿ	p ʉ h ʉ gⁿ	p ʉ h ʉ gⁿ	932	892	MOON			
13971	KatukinaBiá	MOON	wadʒa	wadʒa	w a dʒ a	w a dʒ a	931	891	MOON			
9	Arawa	STAR	amoa	amoa	a m o a	a m o - a	9	9	STAR			
133	Banawa	STAR	amowa	amowa	a m o w a	a m o w a	9	9	STAR			
444	Deni	STAR	amowa	amowa	a m o w a	a m o w a	9	9	STAR			
737	Jamamadi	STAR	amowa	amowa	a m o w a	a m o w a	9	9	STAR			
1066	Jarawara	STAR	amowa	amowa	a m o w a	a m o w a	9	9	STAR			
1440	Kulina	STAR	amowa	amowa	a m o w a	a m o w a	9	9	STAR			
5164	Sorowaha	STAR	amuwa	amuwa	a m u w a	a m u w a	9	9	STAR			
10308	Katawishi	STAR	korombiru	korombiru	k o r o mb i r u	k o r o mb i r u	852	809	STAR			
10428	Proto-Arawan	STAR	amowa	amowa	a m o w a	a m o w a	9	9	STAR			
11778	Paumari	STAR	boviri	boviri	b o β i r i	b o β i r i	1160	1124	STAR			
11834	Paumari_1833	STAR	boore	boore	b oo r e	b oo r e	1160	1124	STAR			
12018	Arasairi	STAR	kurua	kurua	k u r u a	k u r u a	1484	1464	STAR			
12889	Toyeri	STAR	kora	kora	k o r a	k o r - a	1484	1464	STAR			
12890	Sapiteri	STAR	kora	kora	k o r a	k o r - a	1484	1464	STAR			
13340	Apurinã	STAR	jõruku	jõruku	j õ r u k u	j õ r u k u	2053	2039	STAR			
13582	Amarakaeri	STAR	siokpo	siokpo	ʃ o k p o	ʃ o k p o	2131	2145	STAR			
10	Arawa	TAPIR	awi	awi	a w i	a w i - -	14	14	TAPIR			
139	Banawa	TAPIR	awi	awi	a w i	a w i - -	14	14	TAPIR			
451	Deni	TAPIR	awi	awi	a w i	a w i - -	14	14	TAPIR			
743	Jamamadi	TAPIR	awi	awi	a w i	a w i - -	14	14	TAPIR			
1075	Jarawara	TAPIR	awi	awi	a w i	a w i - -	14	14	TAPIR			
1449	Kulina	TAPIR	awi	awi	a w i	a w i - -	14	14	TAPIR			
5186	Sorowaha	TAPIR	maahunɨ	maahunɨ	m aː h u n ɨ	m aː h u n ɨ	510	494	TAPIR			
10397	Amarakaeri	TAPIR	kemë	kemë	k e m ẽ	k e m ẽ	921	880	TAPIR			
10439	Proto-Arawan	TAPIR	awi	awi	a w i	a w i - -	14	14	TAPIR			
10996	Paumari	TAPIR	ɗaama	ɗaama	ɗ aː m a	ɗ aː m a	921	880	TAPIR			
12019	Arasairi	TAPIR	keme	keme	k e m e	k e m e	921	880	TAPIR			
12459	Apurinã	TAPIR	kema	kema	k e m a	k e m a	921	880	TAPIR			
12891	Toyeri	TAPIR	keme	keme	k e m e	k e m e	921	880	TAPIR			
12892	Sapiteri	TAPIR	keme	keme	k e m e	k e m e	921	880	TAPIR			
13400	Katawishi	TAPIR	kabioho	kabioho	k a b i o h o	k a b i o h o	2100	2110	TAPIR			
11	Arawa	WHITE-LIPPED PECCARY	isama	isama	i s a m a	- i s a m a	243	243	WHITE-LIPPED.PECCARY			
176	Banawa	WHITE-LIPPED PECCARY	hijama	hijama	h i j a m a	h i j a m a	243	243	WHITE-LIPPED.PECCARY			
502	Deni	WHITE-LIPPED PECCARY	hijama	hijama	h i j a m a	h i j a m a	243	243	WHITE-LIPPED.PECCARY			
786	Jamamadi	WHITE-LIPPED PECCARY	hijama	hijama	h i j a m a	h i j a m a	243	243	WHITE-LIPPED.PECCARY			
1132	Jarawara	WHITE-LIPPED PECCARY	hijama	hijama	h i j a m a	h i j a m a	243	243	WHITE-LIPPED.PECCARY			
1523	Kulina	WHITE-LIPPED PECCARY	hijama	hijama	h i j a m a	h i j a m a	243	243	WHITE-LIPPED.PECCARY			
1927	Sorowaha	WHITE-LIPPED PECCARY	ijama / kahiɾi	ijama	i j a m a	- i j a m a	243	243	WHITE-LIPPED.PECCARY			
1928	Sorowaha	WHITE-LIPPED PECCARY	ijama / kahiɾi	kahiɾi	k a h i ɾ i	k a h i ɾ i	511	496	WHITE-LIPPED.PECCARY			
5043	Sorowaha	WHITE-LIPPED PECCARY	dʒamakahiɾi	dʒamakahiɾi / dʒaməkahiɾi	dʒ a m a k a h i ɾ i	dʒ a m a k a h i ɾ i	440	423	WHITE-LIPPED.PECCARY			
5044	Sorowaha	WHITE-LIPPED PECCARY	dʒaməkahiɾi	dʒamakahiɾi / dʒaməkahiɾi	dʒ a m ə k a h i ɾ i	dʒ a m ə k a h i ɾ i	440	423	WHITE-LIPPED.PECCARY			
10600	Proto-Arawan	WHITE-LIPPED PECCARY	hijama	hijama	h i j a m a	h i j a m a	243	243	WHITE-LIPPED.PECCARY			
11779	Paumari	WHITE-LIPPED PECCARY	hirari	hirari	h i r a r i	h i r a r i	1368	1331	WHITE-LIPPED.PECCARY			
13404	Katawishi	WHITE-LIPPED PECCARY	abari	abari	a b a r i	a b a r i	2104	2114	WHITE-LIPPED.PECCARY			
14023	KatukinaBiá	WHITE-LIPPED PECCARY	uili	uili	w i ɭ i	w i ɭ i	2495	2455	WHITE.LIPPED.PECCARY			
12	Arawa	FOOT	otamá	otamá	o t a m a	o t a m a	47	47	FOOT			
184	Banawa	FOOT	tame	tame	t a m e	- t a m e	47	47	FOOT			tame f, teme m
792	Jamamadi	FOOT	tame	tame	t a m e	- t a m e	47	47	FOOT			tame f, teme m
1141	Jarawara	FOOT	tame	tame	t a m e	- t a m e	47	47	FOOT			tame f, teme m
1327	Kulina	FOOT	amoɾi	amoɾi	a m o ɾ i	a m o ɾ i	1260	1260	FOOT			
1764	Paumari	FOOT	ɗama	ɗama	ɗ a m a	- ɗ a m a	47	47	FOOT			
1932	Sorowaha	FOOT	dama	dama	d a m a	- d a m a	47	47	FOOT			
10086	Sorowaha	FOOT	ud̥ɨ	ud̥ɨ	u d̥ ɨ	u d̥ ɨ	717	660	FOOT			
10223	Deni	FOOT	amuri	amuri	a m u r i	a m u r i	1260	1260	FOOT			
10304	Katawishi	FOOT	høkora / ee / ni	høkora	h ø k o r a	h ø k o r a	848	805	FOOT			
10389	Amarakaeri	FOOT	waʔi	waʔi	w a + ʔ i	w a + ʔ i	337	532 337	_NOMINALIZER FOOT			
10487	KatukinaBiá	FOOT	i	i	iː	iː	337	337	FOOT			
10488	Kanamari	FOOT	i	i	iː	iː	337	337	FOOT			
10563	Proto-Arawan	FOOT	ɗama	ɗama	ɗ a m a	- ɗ a m a	47	47	FOOT			
10797	Katawishi	FOOT	høkora / ee / ni	ee	eː	eː	337	337	FOOT			
12020	Arasairi	FOOT	uai	uai	u a + i	u a + i	337	532 337	NOMINALIZER FOOT			
12152	Paumari_1833	FOOT	da	da	d a	d a	47	47	FOOT			
13341	Apurinã	FOOT	kiti	kiti	k i t i	k i t i	2054	2040	FOOT			
13428	Katawishi	FOOT	høkora / ee / ni	ni	n i	n i	2127	2140	FOOT			
13	Arawa	HAND	usaɸá	usaɸá	u s a ɸ a	u s a ɸ a - -	83	83	HAND			
205	Banawa	HAND	je	je	j e	j e	83	83	HAND			
538	Deni	HAND	japa	japa	j a p a	- j a p a - -	83	83	HAND			
813	Jamamadi	HAND	jahi	jahi	j a h i	- j a h i - -	83	83	HAND			jahi/jehe
983	Jarawara	HAND	jehe	jehe	j e h e	- j e h e - -	83	83	HAND			
1166	Jarawara	HAND	jehe / jee	jee	j e e	- j e - e - -	83	83	HAND			
1341	Kulina	HAND	dzɛpɛ	dzɛpɛ	dz ɛ p ɛ	- dz ɛ p ɛ - -	83	83	HAND			
1559	Kulina	HAND	japa	japa	j a p a	- j a p a - -	83	83	HAND			
1786	Paumari	HAND	saʔa	saʔa	s a ʔ a	- s a ʔ a - -	83	83	HAND			
1868	Sorowaha	HAND	bihi / sahani	bihi	b i h i	b i h i	383	322	HAND			
1948	Sorowaha	HAND	bihi / sahani	sahani	s a h a n i	- s a h a n i	83	83	HAND			
10315	Katawishi	HAND	bakøra	bakøra	b a k ø r a	b a k ø r a	858	815	HAND			
10371	Amarakaeri	HAND	wambaʔ	wambaʔ	w a + mb a ʔ	w a + mb a ʔ	83	532 83	_NOMINALIZER HAND			
10632	Proto-Arawan	HAND	japa	japa	j a p a	- j a p a - -	83	83	HAND			
11818	Paumari_1833	HAND	vuana	vuana	v ua n a	v ua n a	1390	1356	HAND			
12021	Arasairi	HAND	uamba	uamba	u a + mb a	u a + mb a	896	532 532	_NOMINALIZER HAND			
12488	Apurinã	HAND	wako	wako	ɰ a k o	ɰ a k o	1729	1722	HAND			
12893	Toyeri	HAND	wamba	wamba	w a + mb a	w a + mb a	896	532 855	_NOMINALIZER HAND			
12894	Sapiteri	HAND	wamba	wamba	w a + mb a	w a + mb a	896	532 855	_NOMINALIZER HAND			
14	Arawa	JAGUAR	jumaihí	jumaihí	j u m a i h i	j u m a i h i	90	90	JAGUAR			
211	Banawa	JAGUAR	jomahi	jomahi	j o m a h i	j o m a - h i	90	90	JAGUAR			
543	Deni	JAGUAR	jomahi	jomahi	j o m a h i	j o m a - h i	90	90	JAGUAR			
819	Jamamadi	JAGUAR	jomahi	jomahi	j o m a h i	j o m a - h i	90	90	JAGUAR			
1172	Jarawara	JAGUAR	jomahi	jomahi	j o m a h i	j o m a - h i	90	90	JAGUAR			
1565	Kulina	JAGUAR	jomahi	jomahi	j o m a h i	j o m a - h i	90	90	JAGUAR			
1789	Paumari	JAGUAR	jomahi	jomahi	dʒ o m a h i	dʒ o m a - h i	90	90	JAGUAR			
5184	Sorowaha	JAGUAR	maɾihi	maɾihi	m a ɾ i h i	m a ɾ i h i	90	90	JAGUAR			
10336	Katawishi	JAGUAR	waŋka	waŋka	w a ŋ k a	w a ŋ k a	870	828	JAGUAR			
10647	Proto-Arawan	JAGUAR	jomahi	jomahi	j o m a h i	j o m a - h i	90	90	JAGUAR			
10909	Amarakaeri	JAGUAR	apetpet	apetpet	a p e t p e t	a p e t p e t	975	933	JAGUAR			
12489	Apurinã	JAGUAR	hãkiti	hãkiti	h ã k i t i	h ã k i t i	1730	1723	JAGUAR			
14035	KatukinaBiá	JAGUAR	pida	pida	p iː d a	p iː d a	2501	2461	JAGUAR			
15	Arawa	ONE	warihí	warihí	w a r i h i	w - a r i h i	684	684	ONE			
234	Banawa	ONE	ohari	ohari	o h a r i	o h a r i - -	684	684	ONE			
569	Deni	ONE	ohari	ohari	o h a r i	o h a r i - -	684	684	ONE			
840	Jamamadi	ONE	ohari	ohari	o h a r i	o h a r i - -	684	684	ONE			
1198	Jarawara	ONE	ohari	ohari	o h a r i	o h a r i - -	684	684	ONE			Intransitive verb
1586	Kulina	ONE	ohaɾi	ohaɾi	o h a ɾ i	o h a ɾ i - -	684	684	ONE			
10339	Katawishi	ONE	wakata	wakata	w a k a t a	w a k a t a	872	830	ONE			
10380	Amarakaeri	ONE	noŋtinda	noŋtinda	n o ŋ + tʃ i + nd a	n o ŋ + tʃ i + nd a	905	863 864 1631	OTHER SPATIAL ?			
10769	Proto-Arawan	ONE	ohari	ohari	o h a r i	o h a r i - -	684	684	ONE			
12022	Arasairi	ONE	untʃínda	untʃínda	u n + tʃ i + nd a	- u n + tʃ i + nd a	905	863 864 1631	OTHER SPATIAL ?			
12490	Apurinã	ONE	hãtu	hãtu	h ã t u	- h ã t u - -	684	684	ONE			
12895	Toyeri	ONE	nontšina	nontšina	n o n + tʃ i + n a	n o n + tʃ i + n a	905	863 864 865	OTHER SPATIAL ?			
12896	Sapiteri	ONE	nontšina	nontšina	n o n + tʃ i + n a	n o n + tʃ i + n a	905	863 864 865	OTHER SPATIAL ?			
16	Arawa	SCROTUM	naɸariná	naɸariná	n a ɸ a r i n a	- - n a ɸ a r i n a	375	360	SCROTUM			
124	Banawa	SCROTUM	dane / naɸe	dane	d a n e	d a n e - - -	40	40	SCROTUM			dane/dene
236	Banawa	SCROTUM	dane / naɸe	naɸe	n a ɸ e	- - n a ɸ e - - - -	375	360	SCROTUM			
433	Deni	SCROTUM	denephe / nephe	denephe	d e n e p h e	d e n e p h e	40	40	SCROTUM			
571	Deni	SCROTUM	denephe / nephe	nephe	n e p h e	- - n e p h e	375	360	SCROTUM			
728	Jamamadi	SCROTUM	dane	dane	d a n e	d a n e - - -	40	40	SCROTUM			dane/dene
1049	Jarawara	SCROTUM	tane	tane	t a n e	t a n e 	40	40	SCROTUM			tane/tenehe
1425	Kulina	SCROTUM	dɛnɛpʰɛ / nɛpʰɛ	dɛnɛpʰɛ	d ɛ n ɛ pʰ ɛ	d ɛ n ɛ pʰ - ɛ	40	40	SCROTUM			
1588	Kulina	SCROTUM	dɛnɛpʰɛ / nɛpʰɛ	nɛpʰɛ	n ɛ pʰ ɛ	- - n ɛ pʰ - ɛ	375	360	SCROTUM			
1806	Paumari	SCROTUM	nafa	nafa	n a f a	- - n a f a - - - -	375	360	SCROTUM			
1894	Sorowaha	SCROTUM	danaha / inahɨ	danaha	d a n a h a	d a n a - h a	40	40	SCROTUM			
1961	Sorowaha	SCROTUM	danaha / inahɨ	inahɨ	i n a h ɨ	- i n a - h ɨ	40	40	SCROTUM			
10547	Proto-Arawan	SCROTUM	danapha	danapha	d a n a pʰ a	d a n a pʰ a	40	40	SCROTUM			
17	Arawa	SUN	mahí	mahí	m a h i	m a h i	216	216	SUN			
252	Banawa	SUN	mai	mai	m a i	m a - i	216	216	SUN			
449	Deni	SUN	mahi	mahi	m a h i	m a h i	216	216	SUN			
860	Jamamadi	SUN	mahi	mahi	m a h i	m a h i	216	216	SUN			
1072	Jarawara	SUN	bahi	bahi	b a h i	b a h i	216	216	SUN			
1447	Kulina	SUN	mahi	mahi	m a h i	m a h i	216	216	SUN			
1811	Paumari	SUN	mahi / safini	mahi	m a h i	m a h i	216	216	SUN			
1994	Sorowaha	SUN	masici	masici	m a s i c i	m a s i c i	512	495	SUN			
10408	Kanamari	SUN	tʃaŋ	tʃaŋ	tʃ a ŋ	tʃ a ŋ	930	890	SUN			
10715	Proto-Arawan	SUN	mahi	mahi	m a h i	m a h i	216	216	SUN			
10975	Paumari	SUN	mahi / safini	safini	s a f i n i	s a f i n i	1042	997	SUN			
11832	Paumari_1833	SUN	sahoeni	sahoeni	s a h oe n i	s a h oe n i	1042	997	SUN			
