# Wordlist

# DATA
ID	DOCULECT	CONCEPT	FORM	VALUE	TOKENS	ALIGNMENT	COGID	COGIDS	MORPHEMES	BORROWING	NOTES
1255	Jarawara	agouti (cutia)	sinama	sinama	s i n a m a	s i n a m a	170	170	AGOUTI.(CUTIA)		
1628	Kulina	agouti (cutia)	shinama	shinama	s h i n a m a	s h i n a m a	170	170	AGOUTI.(CUTIA)		
#
898	Jarawara	all	nafi	nafi	n a f i	n a f i	0		ALL		
#
629	Jamamadi	alligator	ona	ona	o n a	o n a	308	308	ALLIGATOR		
899	Jarawara	alligator	ona	ona	o n a	o n a	308	308	ALLIGATOR		
1835	Sorowaha	alligator	ona	ona	o n a	o n a	308	308	ALLIGATOR		
#
630	Jamamadi	angry	hamini	hamini	h a m i n i	h a m i n i	0		ANGRY		
#
900	Jarawara	animal	bani	bani	b a n i	b a n i	318	318	ANIMAL		
1262	Kulina	animal	bani	bani	b a n i	b a n i	318	318	ANIMAL		edible enimals
1263	Kulina	animal	banisiri	banisiri	b a n i s i r i	b a n i s i r i	318	318	ANIMAL		inedible enimals
1782	Paumari	animal	igitha	igitha	i g i t h a	i g i t h a	73	73	ANIMAL		
1944	Sorowaha	animal	igatɨ	igatɨ	i g a t ɨ	i g a t ɨ	73	73	ANIMAL		
#
23	Banawa	ant	jimo	jimo	j i m o	j i m o	227	227	ANT		tocandira
24	Banawa	ant	mafo	mafo	m a f o	m a f o	227	227	ANT		tocandira
291	Deni	ant	jomo	jomo	j o m o	j o m o	227	227	ANT		tocandira
292	Deni	ant	mapo	mapo	m a p o	m a p o	227	227	ANT		tocandira
632	Jamamadi	ant	mafo	mafo	m a f o	m a f o	227	227	ANT		tocandira
902	Jarawara	ant	jimo	jimo	j i m o	j i m o	227	227	ANT		tocandira
903	Jarawara	ant	mafo	mafo	m a f o	m a f o	227	227	ANT		tocandira
1265	Kulina	ant	dasha	dasha	d a s h a	d a s h a	227	227	ANT		
1266	Kulina	ant	jomo	jomo	j o m o	j o m o	227	227	ANT		tocandira
1267	Kulina	ant	mapo	mapo	m a p o	m a p o	227	227	ANT		tocandira
1634	Paumari	ant	mafo	mafo	m a f o	m a f o	227	227	ANT		
1837	Sorowaha	ant	dasari	dasari	d a s a r i	d a s a r i	227	227	ANT		
#
554	Deni	ant sp.	karakara	kaposhiri	k a p o s h i r i	k a p o s h i r i	102	102	ANT.SP.		
596	Deni	ant sp.	meʔi	meʔi	m e ʔ i	m e ʔ i	134	134	ANT.SP.		
864	Jamamadi	ant sp.	meme	meme	m e m e	m e m e	134	134	ANT.SP.		
1226	Jarawara	ant sp.	mai	mai	m a i	m a i	134	134	ANT.SP.		army ant sp.
1605	Kulina	ant sp.	meʔi	meʔi	m e ʔ i	m e ʔ i	134	134	ANT.SP.		
1797	Paumari	ant sp.	kapohi	kapohi	k a p o h i	k a p o h i	102	102	ANT.SP.		
1999	Jarawara	ant sp.	takasiri	takasiri	t a k a s i r i	t a k a s i r i	179	179	ANT.SP.		
2000	Jamamadi	ant sp.	takasiri	takasiri	t a k a s i r i	t a k a s i r i	179	179	ANT.SP.		
2001	Sorowaha	ant sp.	takasiri	takasiri	t a k a s i r i	t a k a s i r i	179	179	ANT.SP.		
#
25	Banawa	anteater	modo	modo	m o d o	m o d o	294	294	ANTEATER		
293	Deni	anteater	modo	modo	m o d o	m o d o	294	294	ANTEATER		
633	Jamamadi	anteater	modo	modo	m o d o	m o d o	294	294	ANTEATER		
904	Jarawara	anteater	moto	moto	m o t o	m o t o	294	294	ANTEATER		
1268	Kulina	anteater	modo	modo	m o d o	m o d o	294	294	ANTEATER		
#
634	Jamamadi	apunã	baro	baro	b a r o	b a r o	320	320	APUNÃ		
905	Jarawara	apunã	baro	baro	b a r o	b a r o	320	320	APUNÃ		
#
26	Banawa	araunã	abajaro	abajaro	a b a j a r o	a b a j a r o	321	321	ARAUNÃ		
635	Jamamadi	araunã	bajaro	bajaro	b a j a r o	b a j a r o	321	321	ARAUNÃ		
906	Jarawara	araunã	bajaro	bajaro	b a j a r o	b a j a r o	321	321	ARAUNÃ		
1635	Paumari	araunã	bajara	bajara	b a j a r a	b a j a r a	321	321	ARAUNÃ		
1838	Sorowaha	araunã	aba majaro	aba majaro	a b a + m a j a r o	a b a + m a j a r o	321	6000 321	ARAUNÃ		
#
294	Deni	arm	bihi	bihi	b i h i	b i h i	322	322	ARM		arm, back leg
1269	Kulina	arm	bihi	bihi	b i h i	b i h i	322	322	ARM		
#
559	Deni	armadillo	ishiʔi	ishiʔi	i s h i ʔ i	i s h i ʔ i	107	107	ARMADILLO		tatu
1185	Jarawara	armadillo	isi	isi	i s i	i s i	107	107	ARMADILLO		tatu
1956	Sorowaha	armadillo	kisima	kisima	k i s i m a	k i s i m a	107	107	ARMADILLO		tatu
1995	Sorowaha	armadillo	bʋʋɟu	bʋʋɟu	b ʋ: ɟ u	b ʋ: ɟ u	0		ARMADILLO		
#
1989	Sorowaha	arrow	tɨbɨ	tɨbɨ	t ɨ b ɨ	t ɨ b ɨ	0		ARROW		
#
1270	Kulina	ash	okone	okone	o k o n e	o k o n e	0		ASH		masculine possessed
#
27	Banawa	assai palm	fare	fare	f a r e	f a r e	311	311	ASSAI.PALM		
636	Jamamadi	assai palm	fare	fare	f a r e	f a r e	311	311	ASSAI.PALM		
907	Jarawara	assai palm	fare	fare	f a r e	f a r e	311	311	ASSAI.PALM		
1271	Kulina	assai palm	paraʔi	paraʔi	p a r a ʔ i	p a r a ʔ i	311	311	ASSAI.PALM		
1636	Paumari	assai palm	parai	parai	p a r a i	p a r a i	311	311	ASSAI.PALM		
1839	Sorowaha	assai palm	harami	harami	h a r a m i	h a r a m i	311	311	ASSAI.PALM		
#
1	Arawa	axe	barí	barí	b a r í	b a r í	217	217	AXE		
28	Banawa	axe	bari	bari	b a r i	b a r i	217	217	AXE		
295	Deni	axe	bari	bari	b a r i	b a r i	217	217	AXE		
637	Jamamadi	axe	bari	bari	b a r i	b a r i	217	217	AXE		
908	Jarawara	axe	bari	bari	b a r i	b a r i	217	217	AXE		
1840	Sorowaha	axe	bari	bari	b a r i	b a r i	217	217	AXE		
#
531	Deni	back	ide	ide	i d e	i d e	71	71	BACK		
1272	Kulina	back	nathi	nathi	n a t h i	n a t h i	323	323	BACK		back of something
1552	Kulina	back	ide	ide	i d e	i d e	71	71	BACK		
1781	Paumari	back	ida	ida	i d a	i d a	71	71	BACK		
#
296	Deni	bacuri	boti	boti	b o t i	b o t i	29	29	BACURI		fruit tree
1637	Paumari	bacuri	bodi	bodi	b o d i	b o d i	29	29	BACURI		fruit tree
#
297	Deni	bad	hirade	hirade	h i r a d e	h i r a d e	324	324	BAD		
1273	Kulina	bad	bisha	bisha	b i s h a	b i s h a	324	324	BAD		bad smell
1274	Kulina	bad	tabakhora	tabakhora	t a b a k h o r a	t a b a k h o r a	324	324	BAD		
#
29	Banawa	bamboo	hado / toto	hado	h a d o	h a d o	237	237	BAMBOO		also a knife made from it
30	Banawa	bamboo	hado / toto	toto	t o t o	t o t o	237	237	BAMBOO		also a flute made from it
298	Deni	bamboo	hado	hado	h a d o	h a d o	237	237	BAMBOO		also a knife made from it
638	Jamamadi	bamboo	hado	hado	h a d o	h a d o	237	237	BAMBOO		also a knife made from it
909	Jarawara	bamboo	hado / toto	hato	h a t o	h a t o	237	237	BAMBOO		also a flute made from it
910	Jarawara	bamboo	hado / toto	toto	t o t o	t o t o	237	237	BAMBOO		also a flute made from it
1275	Kulina	bamboo	hado / totore	hado	h a d o	h a d o	237	237	BAMBOO		also a knife made from it
1276	Kulina	bamboo	hado / totore	totore	t o t o r e	t o t o r e	237	237	BAMBOO		also a flute made from it
1638	Paumari	bamboo	hado	hado	h a d o	h a d o	237	237	BAMBOO		also a knife made from it
#
886	Jamamadi	banana sp.	satowi	satowi	s a t o w i	s a t o w i	162	162	BANANA.SP.		
1826	Paumari	banana sp.	satomi	satomi	s a t o m i	s a t o m i	162	162	BANANA.SP.		
#
31	Banawa	bark (of a tree)	atari	atari	a t a r i	a t a r i	208	208	SKIN		skin, bark
299	Deni	bark (of a tree)	etero	etero	e t e r o	e t e r o	208	208	SKIN		skin, bark
639	Jamamadi	bark (of a tree)	atori	atori	a t o r i	a t o r i	208	208	SKIN		skin, bark
911	Jarawara	bark (of a tree)	atari	atari	a t a r i	a t a r i	208	208	SKIN		skin, bark
1277	Kulina	bark (of a tree)	etero	etero	e t e r o	e t e r o	208	208	SKIN		skin, bark
#
254	Banawa	bat	mesebiri	mesebiri	m e s e b i r i	m e s e b i r i	130	130	BAT		
862	Jamamadi	bat	masi	masi	m a s i	m a s i	130	130	BAT		
1224	Jarawara	bat	masebiri	masebiri	m a s e b i r i	m a s e b i r i	130	130	BAT		
1813	Paumari	bat	masi	masi	m a s i	m a s i	130	130	BAT		
#
300	Deni	bathe	konaha	konaha	k o n a h a	k o n a h a	276	276	BATHE		
1278	Kulina	bathe	kona	kona	k o n a	k o n a	276	276	BATHE		
1639	Paumari	bathe	kona	kona	k o n a	k o n a	276	276	BATHE		
#
185	Banawa	be	ha	ha	h a	h a	54	54	BE		also exist
518	Deni	be	ha	ha	h a	h a	54	54	BE		also exist
1142	Jarawara	be	ha	ha	h a	h a	54	54	BE		also exist
1538	Kulina	be	ha	ha	h a	h a	54	54	BE		also exist
1771	Paumari	be	ha	ha	h a	h a	54	54	BE		also exist
1935	Sorowaha	be	ha	ha	h a	h a	54	54	BE		also exist
#
32	Banawa	be angry	hama	hama	h a m a	h a m a	325	325	BE.ANGRY		
207	Banawa	be angry	jawa	jawa	j a w a	j a w a	86	86	BE.ANGRY		
816	Jamamadi	be angry	jawa	jawa	j a w a	j a w a	86	86	BE.ANGRY		
912	Jarawara	be angry	hama	hama	h a m a	h a m a	325	325	BE.ANGRY		
1168	Jarawara	be angry	jawa	jawa	j a w a	j a w a	86	86	BE.ANGRY		
1787	Paumari	be angry	kajawa	kajawa	k a j a w a	k a j a w a	86	86	BE.ANGRY		
1951	Sorowaha	be angry	jawa	jawa	j a w a	j a w a	86	86	BE.ANGRY		
#
33	Banawa	be burnt	hati	hati	h a t i	h a t i	326	326	BE.BURNT		
913	Jarawara	be burnt	hati	hati	h a t i	h a t i	326	326	BE.BURNT		
1640	Paumari	be burnt	haʔdi	haʔdi	h a ʔ d i	h a ʔ d i	326	326	BE.BURNT		
#
286	Banawa	be cold	siri	siri	s i r i	s i r i	173	173	BE.COLD		
625	Deni	be cold	shirini	shirini	s h i r i n i	s h i r i n i	173	173	BE.COLD		
895	Jamamadi	be cold	siri	siri	s i r i	s i r i	173	173	BE.COLD		
1258	Jarawara	be cold	siri	siri	s i r i	s i r i	173	173	BE.COLD		
1631	Kulina	be cold	siri	siri	s i r i	s i r i	173	173	BE.COLD		
1832	Paumari	be cold	pahisiri	pahisiri	p a h i s i r i	p a h i s i r i	173	173	BE.COLD		
#
2	Arawa	be good	amoza	amoza	a m o z a	a m o z a	8	8	BE.GOOD		
34	Banawa	be good	amosa	amosa	a m o s a	a m o s a	8	8	BE.GOOD		
301	Deni	be good	amoshi	amoshi	a m o s h i	a m o s h i	8	8	BE.GOOD		
640	Jamamadi	be good	amosa	amosa	a m o s a	a m o s a	8	8	BE.GOOD		
914	Jarawara	be good	amosa	amosa	a m o s a	a m o s a	8	8	BE.GOOD		
#
35	Banawa	be hungry	fimiha	fimiha	f i m i h a	f i m i h a	327	327	BE.HUNGRY		
302	Deni	be hungry	pemi	pemi	p e m i	p e m i	327	327	BE.HUNGRY		
641	Jamamadi	be hungry	fimiha	fimiha	f i m i h a	f i m i h a	327	327	BE.HUNGRY		
915	Jarawara	be hungry	fimiha	fimiha	f i m i h a	f i m i h a	327	327	BE.HUNGRY		
1279	Kulina	be hungry	pemi	pemi	p e m i	p e m i	327	327	BE.HUNGRY		
1641	Paumari	be hungry	waiʔami	waiʔami	w a i ʔ a m i	w a i ʔ a m i	0		BE.HUNGRY		
#
137	Banawa	be ill	kija	kija	k i j a	k i j a	0	1212	BE.ILL		
741	Jamamadi	be ill	kija	kija	k i j a	k i j a	0	1212	BE.ILL		
1071	Jarawara	be ill	kija	kija	k i j a	k i j a	0	1212	BE.ILL		
1444	Kulina	be ill	kija	kija	k i j a	k i j a	0	1212	BE.ILL		
#
15	Arawa	be one	warihí	warihí	w a r i h í	w a r i h í	0		BE.ONE		be alone
234	Banawa	be one	ohari	ohari	o h a r i	o h a r i	684	684	BE.ONE		be alone
569	Deni	be one	ohari	ohari	o h a r i	o h a r i	684	684	BE.ONE		be alone
840	Jamamadi	be one	ohari	ohari	o h a r i	o h a r i	684	684	BE.ONE		be alone
1198	Jarawara	be one	ohari	ohari	o h a r i	o h a r i	684	684	BE.ONE		be alone
1586	Kulina	be one	ohari	ohari	o h a r i	o h a r i	684	684	BE.ONE		be alone
#
188	Banawa	be ripe	hada	hada	h a d a	h a d a	57	57	BE.RIPE		also mature
521	Deni	be ripe	hada	hada	h a d a	h a d a	57	57	BE.RIPE		also mature
796	Jamamadi	be ripe	hada	hada	h a d a	h a d a	57	57	BE.RIPE		also mature
1145	Jarawara	be ripe	hata	hata	h a t a	h a t a	57	57	BE.RIPE		also mature
1541	Kulina	be ripe	hada	hada	h a d a	h a d a	57	57	BE.RIPE		also mature
1772	Paumari	be ripe	hada	hada	h a d a	h a d a	57	57	BE.RIPE		also mature
1937	Sorowaha	be ripe	ada	ada	a d a	a d a	57	57	BE.RIPE		also mature
#
1841	Sorowaha	be scared	ohi	ohi	o h i	o h i	305	305	CRY		cry, weep
#
508	Deni	be visible	awato	awato	a w a t o	a w a t o	1009	1009	BE.VISIBLE		
1533	Kulina	be visible	awato	awato	a w a t o	a w a t o	1009	1009	BE.VISIBLE		
#
303	Deni	beak	bono	bono	b o n o	b o n o	33	33	BEAK		upper lip
1280	Kulina	beak	bono	bono	b o n o	b o n o	33	33	BEAK		upper lip
1642	Paumari	beak	bono	bono	b o n o	b o n o	33	33	BEAK		upper lip
#
145	Banawa	beat	waka	waka	w a k a	w a k a	223	223	BEAT		
146	Banawa	beat	baa	baa	b a a	b a a	212	212	BEAT		beat, hit
461	Deni	beat	wakha	wakha	w a k h a	w a k h a	223	223	BEAT		
462	Deni	beat	baa	baa	b a a	b a a	212	212	BEAT		beat, hit
750	Jamamadi	beat	waka	waka	w a k a	w a k a	223	223	BEAT		
751	Jamamadi	beat	baa	baa	b a a	b a a	212	212	BEAT		beat, hit
1085	Jarawara	beat	waka	waka	w a k a	w a k a	223	223	BEAT		
1086	Jarawara	beat	baa	baa	b a a	b a a	212	212	BEAT		beat, hit
1458	Kulina	beat	wakha	wakha	w a k h a	w a k h a	223	223	BEAT		
1734	Paumari	beat	bakha / baa	bakha	b a k h a	b a k h a	212	212	BEAT		
1735	Paumari	beat	bakha / baa	baa	b a a	b a a	212	212	BEAT		beat, hit
1904	Sorowaha	beat	batoha	batoha	b a t o h a	b a t o h a	212	212	BEAT		beat, hit
#
1281	Kulina	because	hini	hini	h i n i	h i n i	0		BECAUSE		
#
1589	Kulina	bed	taboro	taboro	t a b o r o	t a b o r o	0	408	unknown5		sleeping place
#
36	Banawa	bee	hiji	hiji	h i j i	h i j i	245	245	BEE		
304	Deni	bee	hiji	hiji	h i j i	h i j i	245	245	BEE		
642	Jamamadi	bee	hiji	hiji	h i j i	h i j i	245	245	BEE		
916	Jarawara	bee	hiji	hiji	h i j i	h i j i	245	245	BEE		
1282	Kulina	bee	hiji	hiji	h i j i	h i j i	245	245	BEE		
#
305	Deni	beetle	hijabo	hijabo	h i j a b o	h i j a b o	242	242	BEETLE		
643	Jamamadi	beetle	hijabo	hijabo	h i j a b o	h i j a b o	242	242	BEETLE		
917	Jarawara	beetle	hijabo	hijabo	h i j a b o	h i j a b o	242	242	BEETLE		
1283	Kulina	beetle	hijabo	hijabo	h i j a b o	h i j a b o	242	242	BEETLE		
#
37	Banawa	belch	dee	dee	d e e	d e e	0		BELCH		burp
306	Deni	belch	de	de	d e	d e	0		BELCH		burp
918	Jarawara	belch	tee	tee	t e e	t e e	0		BELCH		burp
1284	Kulina	belch	derere	derere	d e r e r e	d e r e r e	0		BELCH		burp
#
307	Deni	belly	dzaha	dzaha	d z a h a	d z a h a	287	287	BELLY		
919	Jarawara	belly	nabati	nabati	n a b a t i	n a b a t i	287	287	BELLY		
1285	Kulina	belly	izoni	izoni	i z o n i	i z o n i	287	287	BELLY		feminine possessed
1842	Sorowaha	belly	makawɨ	makawɨ	m a k a w ɨ	m a k a w ɨ	287	287	HEART		
#
1286	Kulina	below	nami	nami	n a m i	n a m i	298	298	GROUND		
#
260	Banawa	big	nafi	nafi	n a f i	n a f i	138	138	BIG		
308	Deni	big	putahari	putahari	p u t a h a r i	p u t a h a r i	0		BIG		big/tall, masculine ri
599	Deni	big	napi	napi	n a p i	n a p i	138	138	BIG		be big
868	Jamamadi	big	nafi	nafi	n a f i	n a f i	138	138	BIG		
1230	Jarawara	big	nafi	nafi	n a f i	n a f i	138	138	BIG		be big
1287	Kulina	big	imei	imei	i m e i	i m e i	0		BIG		
1609	Kulina	big	napi	napi	n a p i	n a p i	138	138	BIG		to grow, increase
1817	Paumari	big	naʔbaha	naʔbaha	naʔbaha	naʔbaha	138	138	BIG		be/make big
1977	Sorowaha	big	nahi	nahi	n a h i	n a h i	138	138	BIG		high
#
309	Deni	big leaf calathea	dawi	dawi	d a w i	d a w i	328	328	BIG.LEAF.CALATHEA		
644	Jamamadi	big leaf calathea	dawi	dawi	d a w i	d a w i	328	328	BIG.LEAF.CALATHEA		
920	Jarawara	big leaf calathea	tawi	tawi	t a w i	t a w i	328	328	BIG.LEAF.CALATHEA		
1843	Sorowaha	big leaf calathea	dai	dai	d a i	d a i	328	328	BIG.LEAF.CALATHEA		
#
921	Jarawara	bird	bani	bani	b a n i	b a n i	0		BIRD		
#
147	Banawa	bite	waji	waji	w a j i	w a j i	0		BITE		
463	Deni	bite	waji	waji	w a j i	w a j i	0		BITE		
752	Jamamadi	bite	waji	waji	w a j i	w a j i	0		BITE		
1087	Jarawara	bite	wai	wai	w a i	w a i	0		BITE		
1459	Kulina	bite	kha	kha	k h a	k h a	0		BITE		bite of an animal?
#
220	Banawa	biting fly	karajati	karajati	k a r a j a t i	k a r a j a t i	103	103	BITING.FLY		mutuca
555	Deni	biting fly	karajati	karajati	k a r a j a t i	k a r a j a t i	103	103	BITING.FLY		mutuca
828	Jamamadi	biting fly	kariti	kariti	k a r i t i	k a r i t i	103	103	BITING.FLY		mutuca
1181	Jarawara	biting fly	karajati	karajati	k a r a j a t i	k a r a j a t i	103	103	BITING.FLY		mutuca
1952	Sorowaha	biting fly	kariti	kariti	k a r i t i	k a r i t i	103	103	BITING.FLY		mutuca; also small type of fly
#
310	Deni	biting gnat	bitha	bitha	b i t h a	b i t h a	0	343	BITING.GNAT		
#
38	Banawa	bitter	bida	bida	b i d a	b i d a	219	219	BITTER		
311	Deni	bitter	bidaro	bidaro	b i d a r o	b i d a r o	219	219	BITTER		
645	Jamamadi	bitter	bidaro	bidaro	b i d a r o	b i d a r o	219	219	BITTER		
922	Jarawara	bitter	bita	bita	b i t a	b i t a	219	219	BITTER		
1288	Kulina	bitter	bida	bida	b i d a	b i d a	219	219	BITTER		
#
312	Deni	black	kiride	kiride	k i r i d e	k i r i d e	0		BLACK		
1289	Kulina	black	sowe	sowe	s o w e	s o w e	0		BLACK		
#
39	Banawa	black-fronted nunbird	taakoro	taakoro	t a a k o r o	t a a k o r o	329	329	BLACK-FRONTED.NUNBIRD		
313	Deni	black-fronted nunbird	tawikoro	tawikoro	t a w i k o r o	t a w i k o r o	329	329	BLACK-FRONTED.NUNBIRD		
646	Jamamadi	black-fronted nunbird	tawakoro	tawakoro	t a w a k o r o	t a w a k o r o	329	329	BLACK-FRONTED.NUNBIRD		
923	Jarawara	black-fronted nunbird	taokoro	taokoro	t a o k o r o	t a o k o r o	329	329	BLACK-FRONTED.NUNBIRD		
1290	Kulina	black-fronted nunbird	taikhoro	taikhoro	t a i k h o r o	t a i k h o r o	329	329	BLACK-FRONTED.NUNBIRD		
1643	Paumari	black-fronted nunbird	tawikororo	tawikororo	t a w i k o r o r o	t a w i k o r o r o	329	329	BLACK-FRONTED.NUNBIRD		
1844	Sorowaha	black-fronted nunbird	tawakoro	tawakoro	t a w a k o r o	t a w a k o r o	329	329	BLACK-FRONTED.NUNBIRD		
#
40	Banawa	blood	ame	ame	a m e	a m e	206	206	BLOOD		
314	Deni	blood	ama	ama	a m a	a m a	206	206	BLOOD		
647	Jamamadi	blood	ame	ame	a m e	a m e	206	206	BLOOD		
924	Jarawara	blood	ame	ame	a m e	a m e	206	206	BLOOD		
1291	Kulina	blood	ama	ama	a m a	a m a	206	206	BLOOD		
1644	Paumari	blood	ama	ama	a m a	a m a	206	206	BLOOD		
1845	Sorowaha	blood	ama	ama	a m a	a m a	206	206	BLOOD		
#
191	Banawa	blow	afo	afo	a f o	a f o	61	61	BLOW		also light fire
524	Deni	blow	hapho	hapho	h a p h o	h a p h o	61	61	BLOW		also light fire
799	Jamamadi	blow	afo	afo	a f o	a f o	61	61	BLOW		also light fire
1149	Jarawara	blow	afo	afo	a f o	a f o	61	61	BLOW		also light fire
1460	Kulina	blow	tomi	tomi	t o m i	t o m i	0		BLOW		
1545	Kulina	blow	hapho	hapho	h a p h o	h a p h o	61	61	BLOW		also light fire
1775	Paumari	blow	foofoo	foofoo	f o o f o o	f o o f o o	61	61	BLOW		also light fire
#
584	Deni	blowfly	khorora	khorora	k h o r o r a	k h o r o r a	124		BLOWFLY		
855	Jamamadi	blowfly	korowi	korowi	k o r o w i	k o r o w i	124		BLOWFLY		
1215	Jarawara	blowfly	korowiri	korowiri	k o r o w i r i	k o r o w i r i	124		BLOWFLY		
1970	Sorowaha	blowfly	kororo	kororo	k o r o r o	k o r o r o	124		BLOWFLY		
#
925	Jarawara	bone	tone	tone	t o n e	t o n e	0		BONE		
#
41	Banawa	branch	ini	ini	i n i	i n i	251	251	BRANCH		
315	Deni	branch	ini	ini	i n i	i n i	251	251	BRANCH		
648	Jamamadi	branch	ini	ini	i n i	i n i	251	251	BRANCH		
926	Jarawara	branch	ini	ini	i n i	i n i	251	251	BRANCH		
1292	Kulina	branch	ini	ini	i n i	i n i	251	251	BRANCH		
1846	Sorowaha	branch	ini	ini	i n i	i n i	251	251	THORN		thorn, crown of tree
#
42	Banawa	break	baka	baka	b a k a	b a k a	20	20	BREAK		
316	Deni	break	baka	baka	b a k a	b a k a	20	20	BREAK		
649	Jamamadi	break	baka	baka	b a k a	b a k a	20	20	BREAK		
927	Jarawara	break	baka	baka	b a k a	b a k a	20	20	BREAK		
#
43	Banawa	breast	johari	johari	j o h a r i	j o h a r i	262	262	BREAST		breast, milk
317	Deni	breast	johori	johori	j o h o r i	j o h o r i	262	262	BREAST		breast, milk
650	Jamamadi	breast	johari	johari	j o h a r i	j o h a r i	262	262	BREAST		breast, milk
928	Jarawara	breast	johari	johari	j o h a r i	j o h a r i	262	262	BREAST		breast, milk
1293	Kulina	breast	bakho / johori	bakho	b a k h o	b a k h o	262	262	BREAST		
1294	Kulina	breast	bakho / johori	johori	j o h o r i	j o h o r i	262	262	BREAST		breast, milk
1645	Paumari	breast	joho	joho	j o h o	j o h o	262	262	BREAST		breast, milk
1847	Sorowaha	breast	joho	joho	j o h o	j o h o	262	262	BREAST		breast, milk
#
192	Banawa	breathe	hasi	hasi	h a s i	h a s i	62	62	BREATHE		also rest
525	Deni	breathe	hashi	hashi	h a s h i	h a s h i	62	62	BREATHE		also rest
800	Jamamadi	breathe	hasi	hasi	h a s i	h a s i	62	62	BREATHE		also rest
1150	Jarawara	breathe	hasi	hasi	h a s i	h a s i	62	62	BREATHE		also rest
1546	Kulina	breathe	hashi	hashi	h a s h i	h a s h i	62	62	BREATHE		also rest
