ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	ALIGNMENT	COGID	COGIDS	MORPHEMES	COGNACY	BORROWING	NOTE
1367	Kulina	LAKE	koɾija / koɾidza	koɾidza	k o ɾ i dz a	k o ɾ i dz a	46	46	LAKE			
1680	Paumari	LAKE	ɗako	ɗako	ɗ a k o	ɗ a k o	47	47	LAKE			
5192	Sorowaha	LAKE	taki	taki	t a k i	t a k i	47	47	LAKE			
7	Arawa	MAN	makuidá	makuidá	m a k u i d á	- m a k u i d á	289	289	MAN.(ADULT.MALE)			
98	Banawa	MAN	makiti	maki	m a k i t i	- m a k i t i	289	289	MAN.(ADULT.MALE)			
383	Deni	MAN	makhi / dzabitsu	dzabitsu	dz a b i ts u	dz a b i ts u	384	365	MAN.(ADULT.MALE)			
384	Deni	MAN	makhi / dzabitsu	makhi	m a kʰ i	- m a kʰ i - -	289	289	MAN.(ADULT.MALE)			
698	Jamamadi	MAN	makiti	maki	m a k i t i	- m a k i t i	289	289	MAN.(ADULT.MALE)			
1010	Jarawara	MAN	makiti	maki	m a k i t i	- m a k i t i	289	289	MAN.(ADULT.MALE)			
1374	Kulina	MAN	makʰi	makʰi	m a kʰ i	- m a kʰ i - -	289	289	MAN.(ADULT.MALE)			
1689	Paumari	MAN	makhira	makhira	m a kʰ i r a	- m a kʰ i r a	289	289	MAN.(ADULT.MALE)			
1877	Sorowaha	MAN	imeki	imeki	i m e k i	i m e k i - -	289	289	MAN.(ADULT.MALE)			
8	Arawa	MOON	masiko	masiko	m a s i k o	- m a s i k o	202	202	MOON			
103	Banawa	MOON	abariko	abariko	a b a r i k o	a b a r i k o	202	202	MOON			
389	Deni	MOON	abajiko	abajiko	a b a j i k o	a b a j i k o	202	202	MOON			
703	Jamamadi	MOON	abariko	abariko	a b a r i k o	a b a r i k o	202	202	MOON			
1016	Jarawara	MOON	abariko	abariko	a b a r i k o	a b a r i k o	202	202	MOON			
1383	Kulina	MOON	abajiko	abajiko	a b a j i k o	a b a j i k o	202	202	MOON			
1815	Paumari	MOON	masiko	masiko	m a s i k o	- m a s i k o	202	202	MOON			
1973	Sorowaha	MOON	masiki	masiki	m a s i k i	- m a s i k i	202	202	MOON			
9	Arawa	STAR	amoa	amoa	a m o a	a m o - a	9	9	STAR			
133	Banawa	STAR	amowa	amowa	a m o w a	a m o w a	9	9	STAR			
444	Deni	STAR	amowa	amowa	a m o w a	a m o w a	9	9	STAR			
737	Jamamadi	STAR	amowa	amowa	a m o w a	a m o w a	9	9	STAR			
1066	Jarawara	STAR	amowa	amowa	a m o w a	a m o w a	9	9	STAR			
1440	Kulina	STAR	amowa	amowa	a m o w a	a m o w a	9	9	STAR			
5164	Sorowaha	STAR	amuwa	amuwa	a m u w a	a m u w a	9	9	STAR			
10	Arawa	TAPIR	awi	awi	a w i	a w i	14	14	TAPIR			
139	Banawa	TAPIR	awi	awi	a w i	a w i	14	14	TAPIR			
451	Deni	TAPIR	awi	awi	a w i	a w i	14	14	TAPIR			
743	Jamamadi	TAPIR	awi	awi	a w i	a w i	14	14	TAPIR			
1075	Jarawara	TAPIR	awi	awi	a w i	a w i	14	14	TAPIR			
1449	Kulina	TAPIR	awi	awi	a w i	a w i	14	14	TAPIR			
5186	Sorowaha	TAPIR	maahunɨ	maahunɨ	m aː h u n ɨ	m aː h u n ɨ	510	494	TAPIR			
11	Arawa	WHITE-LIPPED PECCARY	isamá	isamá	i s a m á	- i s a m á	243	243	WHITE-LIPPED.PECCARY			
176	Banawa	WHITE-LIPPED PECCARY	hijama	hijama	h i j a m a	h i j a m a	243	243	WHITE-LIPPED.PECCARY			
502	Deni	WHITE-LIPPED PECCARY	hijama	hijama	h i j a m a	h i j a m a	243	243	WHITE-LIPPED.PECCARY			
786	Jamamadi	WHITE-LIPPED PECCARY	hijama	hijama	h i j a m a	h i j a m a	243	243	WHITE-LIPPED.PECCARY			
1132	Jarawara	WHITE-LIPPED PECCARY	hijama	hijama	h i j a m a	h i j a m a	243	243	WHITE-LIPPED.PECCARY			
1523	Kulina	WHITE-LIPPED PECCARY	hijama	hijama	h i j a m a	h i j a m a	243	243	WHITE-LIPPED.PECCARY			
1927	Sorowaha	WHITE-LIPPED PECCARY	ijama / kahiɾi	ijama	i j a m a	- i j a m a	243	243	WHITE-LIPPED.PECCARY			
1928	Sorowaha	WHITE-LIPPED PECCARY	ijama / kahiɾi	kahiɾi	k a h i ɾ i	k a h i ɾ i	511	496	WHITE-LIPPED.PECCARY			
5043	Sorowaha	WHITE-LIPPED PECCARY	dʒamakahiɾi	dʒamakahiɾi / dʒaməkahiɾi	dʒ a m a k a h i ɾ i	dʒ a m a k a h i ɾ i	440	423	WHITE-LIPPED.PECCARY			
5044	Sorowaha	WHITE-LIPPED PECCARY	dʒaməkahiɾi	dʒamakahiɾi / dʒaməkahiɾi	dʒ a m ə k a h i ɾ i	dʒ a m ə k a h i ɾ i	440	423	WHITE-LIPPED.PECCARY			
12	Arawa	FOOT	otamá	otamá	o t a m á	o t a m á	47	47	FOOT			
184	Banawa	FOOT	teme	teme	t e m e	- t e m e	47	47	FOOT			
792	Jamamadi	FOOT	teme	teme	t e m e	- t e m e	47	47	FOOT			
968	Jarawara	FOOT	tame / teme	tame	t a m e	- t a m e	47	47	FOOT			
1141	Jarawara	FOOT	tame / teme	teme	t e m e	- t e m e	47	47	FOOT			
1327	Kulina	FOOT	amoɾi	amoɾi	a m o ɾ i	a m o ɾ i	1260	1260	FOOT			
1764	Paumari	FOOT	ɗama	ɗama	ɗ a m a	- ɗ a m a	47	47	FOOT			
1932	Sorowaha	FOOT	dama	dama	d a m a	- d a m a	47	47	FOOT			
10086	Sorowaha	FOOT	ud̥ɨ	ud̥ɨ	u d̥ ɨ	u d̥ ɨ	717	660	FOOT			
10223	Deni	FOOT	amuri	amuri	a m u r i	a m u r i	1260	1260	FOOT			
13	Arawa	HAND	usaɸá	usaɸá	u s a ɸ á	u s a ɸ á - -	83	83	HAND			
205	Banawa	HAND	jahi	jahi	j a h i	- j a h i - -	83	83	HAND			
538	Deni	HAND	japa	japa	j a p a	- j a p a - -	83	83	HAND			
813	Jamamadi	HAND	jahi / jefe	jahi	j a h i	- j a h i - -	83	83	HAND			
814	Jamamadi	HAND	jahi / jefe	jefe	j e f e	- j e f e - -	83	83	HAND			
983	Jarawara	HAND	jehe	jehe	j e h e	- j e h e - -	83	83	HAND			
1166	Jarawara	HAND	jehe / jee	jee	j e e	- j e - e - -	83	83	HAND			
1341	Kulina	HAND	dzɛpɛ	dzɛpɛ	dz ɛ p ɛ	- dz ɛ p ɛ - -	83	83	HAND			
1559	Kulina	HAND	japa	japa	j a p a	- j a p a - -	83	83	HAND			
1786	Paumari	HAND	saʔa	saʔa	s a ʔ a	- s a ʔ a - -	83	83	HAND			
1868	Sorowaha	HAND	bihi / sahani	bihi	b i h i	b i h i	383	322	HAND			
1948	Sorowaha	HAND	bihi / sahani	sahani	s a h a n i	- s a h a n i	83	83	HAND			
14	Arawa	JAGUAR	jumayhí	jumayhí	j u m a y h í	j u m a y h í	90	90	JAGUAR			
211	Banawa	JAGUAR	jomahi	jomahi	j o m a h i	j o m a - h i	90	90	JAGUAR			
543	Deni	JAGUAR	jomahi	jomahi	j o m a h i	j o m a - h i	90	90	JAGUAR			
819	Jamamadi	JAGUAR	jomahi	jomahi	j o m a h i	j o m a - h i	90	90	JAGUAR			
1172	Jarawara	JAGUAR	jomahi	jomahi	j o m a h i	j o m a - h i	90	90	JAGUAR			
1565	Kulina	JAGUAR	jomahi	jomahi	j o m a h i	j o m a - h i	90	90	JAGUAR			
1789	Paumari	JAGUAR	jomahi	jomahi	j o m a h i	j o m a - h i	90	90	JAGUAR			
5184	Sorowaha	JAGUAR	maɾihi	maɾihi	m a ɾ i h i	m a ɾ i h i	1276	1276	JAGUAR			
15	Arawa	ONE	warihí	warihí	w a r i h í	w - a r i h í	684	684	ONE			
234	Banawa	ONE	ohari	ohari	o h a r i	o h a r i - -	684	684	ONE			
569	Deni	ONE	ohari	ohari	o h a r i	o h a r i - -	684	684	ONE			
840	Jamamadi	ONE	ohari	ohari	o h a r i	o h a r i - -	684	684	ONE			
1198	Jarawara	ONE	ohari	ohari	o h a r i	o h a r i - -	684	684	ONE			Intransitive verb
1397	Kulina	ONE	ohaɾi	ohaɾi	o h a ɾ i	o h a ɾ i	476	461	ONE			
1586	Kulina	ONE	ohaɾi	ohaɾi	o h a ɾ i	o h a ɾ i - -	684	684	ONE			
16	Arawa	SCROTUM	naɸariná	naɸariná	n a ɸ a r i n á	- - n a ɸ a r i n á	375	360	SCROTUM			
124	Banawa	SCROTUM	dane / naɸe	dane	d a n e	d a n e - - -	40	40	SCROTUM			
236	Banawa	SCROTUM	dane / naɸe	naɸe	n a ɸ e	- - n a ɸ e - - - -	375	360	SCROTUM			
433	Deni	SCROTUM	denephe / nephe	denephe	d e n e p h e	d e n e p h e	40	40	SCROTUM			
571	Deni	SCROTUM	denephe / nephe	nephe	n e p h e	- - n e p h e	375	360	SCROTUM			
728	Jamamadi	SCROTUM	dane	dane	d a n e	d a n e - - -	40	40	SCROTUM			
1049	Jarawara	SCROTUM	tanehe	tanehe	t a n e h e	t a n e - h e	40	40	SCROTUM			
1425	Kulina	SCROTUM	dɛnɛpʰɛ / nɛpʰɛ	dɛnɛpʰɛ	d ɛ n ɛ pʰ ɛ	d ɛ n ɛ pʰ - ɛ	40	40	SCROTUM			
1588	Kulina	SCROTUM	dɛnɛpʰɛ / nɛpʰɛ	nɛpʰɛ	n ɛ pʰ ɛ	- - n ɛ pʰ - ɛ	375	360	SCROTUM			
1806	Paumari	SCROTUM	naɸa	naɸa	n a ɸ a	- - n a ɸ a - - - -	375	360	SCROTUM			
1894	Sorowaha	SCROTUM	danaha / inahɨ	danaha	d a n a h a	d a n a - h a	40	40	SCROTUM			
1961	Sorowaha	SCROTUM	danaha / inahɨ	inahɨ	i n a h ɨ	- i n a - h ɨ	40	40	SCROTUM			
17	Arawa	SUN	mahí	mahí	m a h í	m a h í	216	216	SUN			
252	Banawa	SUN	mai	mai	m a i	m a - i	216	216	SUN			
449	Deni	SUN	mahi	mahi	m a h i	m a h i	216	216	SUN			
860	Jamamadi	SUN	mahi	mahi	m a h i	m a h i	216	216	SUN			
1072	Jarawara	SUN	bahi	bahi	b a h i	b a h i	216	216	SUN			
1447	Kulina	SUN	mahi	mahi	m a h i	m a h i	216	216	SUN			
1811	Paumari	SUN	mahi	mahi	m a h i	m a h i	216	216	SUN			
1994	Sorowaha	SUN	masici	masici	m a s i c i	m a s i c i	512	495	SUN			
19	Arawa	TWO	ɸamihí	ɸamihí	ɸ a m i h í	- ɸ a m i h í	153	153	TWO			
269	Banawa	TWO	ɸama	ɸama	ɸ a m a	- ɸ a m a - -	153	153	TWO			
609	Deni	TWO	pama	pama	p a m a	- p a m a - -	153	153	TWO			
878	Jamamadi	TWO	ɸama	ɸama	ɸ a m a	- ɸ a m a - -	153	153	TWO			
1241	Jarawara	TWO	ɸama	ɸama	ɸ a m a	- ɸ a m a - -	153	153	TWO			
1512	Kulina	TWO	pama	pama	p a m a	- p a m a - -	153	153	TWO			
1981	Sorowaha	TWO	ohama	ohama	o h a m a	o h a m a - -	153	153	TWO			
20	Arawa	WATER	pahá	pahá	p a h á	p a h á	157	157	WATER			
273	Banawa	WATER	ɸaha	ɸaha	ɸ a h a	ɸ a h a	157	157	WATER			
498	Deni	WATER	patsu / pha	patsu	p a t s u	p a t s u	513	497	WATER			
612	Deni	WATER	patsu / pha	pha	pʰ a	pʰ a - -	157	157	WATER			
882	Jamamadi	WATER	ɸaha	ɸaha	ɸ a h a	ɸ a h a	157	157	WATER			
1245	Jarawara	WATER	ɸaha	ɸaha	ɸ a h a	ɸ a h a	157	157	WATER			
1518	Kulina	WATER	patsʰo / pʰaha	patsʰo	p a tsʰ o	p a tsʰ - o	513	497	WATER			
1620	Kulina	WATER	patsʰo / pʰaha	pʰaha	pʰ a h a	pʰ a h a	157	157	WATER			
1824	Paumari	WATER	paha	paha	p a h a	p a h a	157	157	WATER			
5148	Sorowaha	WATER	bami	bami	b a m i	b a m i	514	498	WATER			
21	Arawa	TURTLE	chirí	chirí	c h i r í	c h i r í	172	172	TURTLE			
285	Banawa	TURTLE	sire	sire	s i r e	s - i r e	172	172	TURTLE			
624	Deni	TURTLE	tsʰiri	tsʰiri	tsʰ i r i	tsʰ - i r i	172	172	TURTLE			
894	Jamamadi	TURTLE	sire	sire	s i r e	s - i r e	172	172	TURTLE			
1257	Jarawara	TURTLE	sire	sire	s i r e	s - i r e	172	172	TURTLE			
1630	Kulina	TURTLE	tsʰiɾi	tsʰiɾi	tsʰ i ɾ i	tsʰ - i ɾ i	172	172	TURTLE			
1831	Paumari	TURTLE	siri	siri	s i r i	s - i r i	172	172	TURTLE			
5183	Sorowaha	TURTLE	kuwasa	kuwasa	k u w a s a	k u w a s a	413	118	TORTOISE			
22	Banawa	TREE AND EDIBLE FRUIT	imi	imi	i m i	i m i	319	319	TREE.AND.EDIBLE.FRUIT			
290	Deni	TREE AND EDIBLE FRUIT	imi	imi	i m i	i m i	319	319	TREE.AND.EDIBLE.FRUIT			
631	Jamamadi	TREE AND EDIBLE FRUIT	imi	imi	i m i	i m i	319	319	TREE.AND.EDIBLE.FRUIT			
901	Jarawara	TREE AND EDIBLE FRUIT	omi	omi	o m i	o m i	319	319	TREE.AND.EDIBLE.FRUIT			
1264	Kulina	TREE AND EDIBLE FRUIT	imi	imi	i m i	i m i	319	319	TREE.AND.EDIBLE.FRUIT			
1836	Sorowaha	TREE AND EDIBLE FRUIT	imi	imi	i m i	i m i	319	319	TREE.AND.EDIBLE.FRUIT			
23	Banawa	ANT	jimo / maɸo	jimo	j i m o	j i m o	227	227	ANT			
24	Banawa	ANT	jimo / maɸo	maɸo	m a ɸ o	m a ɸ o	358	344	ANT			
291	Deni	ANT	jomo / mapo	jomo	j o m o	j o m o	227	227	ANT			
292	Deni	ANT	jomo / mapo	mapo	m a p o	m a p o	358	344	ANT			
554	Deni	ANT	kaposhiri / meʔi	karakara	k a p o s h i r i	k a p o s h i r i	102	102	ANT.SP.			
596	Deni	ANT	kaposhiri / meʔi	meʔi	m e ʔ i	m e ʔ i	134	134	ANT.SP.			
632	Jamamadi	ANT	maɸo	maɸo	m a ɸ o	m a ɸ o	358	344	ANT			
864	Jamamadi	ANT	meme / takasiri	meme	m e m e	m e m e	134	134	ANT.SP.			
902	Jarawara	ANT	jimo / maɸo	jimo	j i m o	j i m o	227	227	ANT			
903	Jarawara	ANT	jimo / maɸo	maɸo	m a ɸ o	m a ɸ o	358	344	ANT			
1226	Jarawara	ANT	mai / takasiri	mai	m a i	m a - i	134	134	ANT.SP.			
1265	Kulina	ANT	datsʰa	datsʰa	d a tsʰ a	d a tsʰ a - -	359	353	ANT			
1266	Kulina	ANT	jomo / mapo	jomo	j o m o	j o m o	227	227	ANT			
1267	Kulina	ANT	jomo / mapo	mapo	m a p o	m a p o	358	344	ANT			
1605	Kulina	ANT	mɛʔi	mɛʔi	m ɛ ʔ i	m ɛ ʔ i	134	134	ANT.SP.			
1634	Paumari	ANT	maɸo	maɸo	m a ɸ o	m a ɸ o	358	344	ANT			
1797	Paumari	ANT	kapohi	kapohi	k a p o h i	k a p o - h i - -	102	102	ANT.SP.			
1837	Sorowaha	ANT	dasaɾi	dasaɾi	d a s a ɾ i	d a s a ɾ i	359	353	ANT			
1999	Jarawara	ANT	mai / takasiri	takasiri	t a k a s i r i	t a k a s i r i	179	179	ANT.SP.			
2000	Jamamadi	ANT	meme / takasiri	takasiri	t a k a s i r i	t a k a s i r i	179	179	ANT.SP.			
2001	Sorowaha	ANT	takasiɾi	takasiɾi	t a k a s i ɾ i	t a k a s i ɾ i	179	179	ANT.SP.			
25	Banawa	ANTEATER	modo	modo	m o d o	m o d o	294	294	ANTEATER			
293	Deni	ANTEATER	modo	modo	m o d o	m o d o	294	294	ANTEATER			
633	Jamamadi	ANTEATER	modo	modo	m o d o	m o d o	294	294	ANTEATER			
904	Jarawara	ANTEATER	moto	moto	m o t o	m o t o	294	294	ANTEATER			
1268	Kulina	ANTEATER	modo	modo	m o d o	m o d o	294	294	ANTEATER			
1549	Kulina	ANTEATER	hojawa	hojawa	h o j a w a	h o j a w a	65	65	ANTEATER			Giant anteater (Myrmecophaga tridactyla)
1778	Paumari	ANTEATER	hiβa	hiβa	h i β a	h i - - β a	65	65	ANTEATER			Giant anteater (Myrmecophaga tridactyla)
5003	Sorowaha	ANTEATER	dʒukitɛɾidʒa	dʒukitɛɾidʒa	dʒ u k i t ɛ ɾ i dʒ a	dʒ u k i t ɛ ɾ i dʒ a	1227	1227	ANTEATER			
26	Banawa	ARAUNÃ	abajaro	abajaro	a b a + j a r o	a b a + - - - j a r o	321	6000 321	? ARAUNÃ			
635	Jamamadi	ARAUNÃ	bajaro	bajaro	b a j a r o	b a j a r o	321	321	ARAUNÃ			
906	Jarawara	ARAUNÃ	bajaro	bajaro	b a j a r o	b a j a r o	321	321	ARAUNÃ			
1635	Paumari	ARAUNÃ	bajara	bajara	b a j a r a	b a j a r a	321	321	ARAUNÃ			
1838	Sorowaha	ARAUNÃ	aba majaɾo	aba majaɾo	a b a + m a j a ɾ o	a b a + m a j a ɾ o	321	6000 321	? ARAUNÃ			
27	Banawa	ACAI PALM	ɸare	ɸare	ɸ a r e	ɸ a r e - -	311	311	AÇAÍ			
636	Jamamadi	ACAI PALM	ɸare	ɸare	ɸ a r e	ɸ a r e - -	311	311	AÇAÍ			
907	Jarawara	ACAI PALM	ɸare	ɸare	ɸ a r e	ɸ a r e - -	311	311	AÇAÍ			
1271	Kulina	ACAI PALM	paɾaʔi	paɾaʔi	p a ɾ a ʔ i	p a ɾ a ʔ i	311	311	AÇAÍ			
1636	Paumari	ACAI PALM	parai	parai	p a r a i	p a r a - i	311	311	AÇAÍ			
1839	Sorowaha	ACAI PALM	haɾami	haɾami	h a ɾ a m i	h a ɾ a m i	311	311	AÇAÍ			
10161	Deni	ACAI PALM	maraka	maraka	m a r a k a	m a r a k a	311	311	AÇAÍ			
29	Banawa	BAMBOO	hado / toto	hado	h a d o	h a d o - -	237	237	BAMBOO			
30	Banawa	BAMBOO	hado / toto	toto	t o t o	t o t o - -	382	364	BAMBOO			
127	Banawa	BAMBOO	aɸi	aɸi	a ɸ i	a ɸ i	10	10	BAMBOO			small bamboo sp.
298	Deni	BAMBOO	hado	hado	h a d o	h a d o - -	237	237	BAMBOO			
439	Deni	BAMBOO	api	api	a p i	a p i	10	10	BAMBOO			small bamboo sp.
638	Jamamadi	BAMBOO	hado	hado	h a d o	h a d o - -	237	237	BAMBOO			
730	Jamamadi	BAMBOO	aɸi	aɸi	a ɸ i	a ɸ i	10	10	SMALL.BAMBOO.SP.			small bamboo sp.
909	Jarawara	BAMBOO	hado / toto	hado	h a t o	h a t o - -	237	237	BAMBOO			
910	Jarawara	BAMBOO	hado / toto	toto	t o t o	t o t o - -	382	364	BAMBOO			
1058	Jarawara	BAMBOO	aɸi	aɸi	a ɸ i	a ɸ i	10	10	SMALL.BAMBOO.SP.			small bamboo sp.
1275	Kulina	BAMBOO	hado / totoɾɛ	hado	h a d o	h a d o - -	237	237	BAMBOO			
1276	Kulina	BAMBOO	hado / totoɾɛ	totoɾɛ	t o t o ɾ ɛ	t o t o ɾ ɛ	382	364	BAMBOO			
1433	Kulina	BAMBOO	api	api	a p i	a p i	10	10	SMALL.BAMBOO.SP.			small bamboo sp.
1638	Paumari	BAMBOO	hado	hado	h a d o	h a d o - -	237	237	BAMBOO			
31	Banawa	BARK	atari	atari	a t a r i	a t a r i	208	208	SKIN			bark (of a tree)
299	Deni	BARK	etero	etero	e t e r o	e t e r o	208	208	SKIN			bark (of a tree)
639	Jamamadi	BARK	atori	atori	a t o r i	a t o r i	208	208	SKIN			bark (of a tree)
911	Jarawara	BARK	atari	atari	a t a r i	a t a r i	208	208	SKIN			bark (of a tree)
1277	Kulina	BARK	ɛtɛɾo	ɛtɛɾo	ɛ t ɛ ɾ o	ɛ t ɛ ɾ o	208	208	SKIN			bark (of a tree)
10054	Sorowaha	BARK	asihi	asihi	a s i h i	a s i h i	679	207	SKIN			
10170	Paumari	BARK	asaɸi	asaɸi	a s a ɸ i	a s a ɸ i	207	207	SKIN			
32	Banawa	BE ANGRY	hama / jawa	hama	h a m a	h a m a	325	325	BE.ANGRY			
207	Banawa	BE ANGRY	hama / jawa	jawa	j a w a	- - j a w a	86	86	BE.ANGRY			
423	Deni	BE ANGRY	hamiʔe	hamiʔe	h a m i ʔ e	h a m i ʔ e	1232	1232	BE.ANGRY			
630	Jamamadi	BE ANGRY	hamini	hamini	h a m i n i	h a m i n i	1232	1232	BE.ANGRY			
816	Jamamadi	BE ANGRY	jawa	jawa	j a w a	- - j a w a	86	86	BE.ANGRY			
912	Jarawara	BE ANGRY	hama /jawa	hama	h a m a	h a m a	325	325	BE.ANGRY			
1168	Jarawara	BE ANGRY	hama /jawa	jawa	j a w a	- - j a w a	86	86	BE.ANGRY			
1787	Paumari	BE ANGRY	kajaβa	kajaβa	k a j a β a	k a j a β a	86	86	BE.ANGRY			
1951	Sorowaha	BE ANGRY	jawa	jawa	j a w a	- - j a w a	86	86	BE.ANGRY			
33	Banawa	BURN (INJURY)	hati	hati	h a t i	h a t i	326	326	BE.BURNT			
913	Jarawara	BURN (INJURY)	hati	hati	h a t i	h a t i	326	326	BE.BURNT			
1640	Paumari	BURN (INJURY)	haɗi	haɗi	h a ɗ i	h a ɗ i	326	326	BE.BURNT			
35	Banawa	BE HUNGRY	ɸimiha	ɸimiha	ɸ i m i h a	ɸ i m i h a	327	327	BE.HUNGRY			
302	Deni	BE HUNGRY	pemi	pemi	p e m i	p e m i - -	327	327	BE.HUNGRY			
641	Jamamadi	BE HUNGRY	ɸimiha	ɸimiha	ɸ i m i h a	ɸ i m i h a	327	327	BE.HUNGRY			
915	Jarawara	BE HUNGRY	ɸimiha	ɸimiha	ɸ i m i h a	ɸ i m i h a	327	327	BE.HUNGRY			
1279	Kulina	BE HUNGRY	pɛmi	pɛmi	p ɛ m i	p ɛ m i - -	327	327	BE.HUNGRY			
1641	Paumari	BE HUNGRY	βaiʔami	βaiʔami	β a i ʔ a m i	β a i ʔ a m i	355	174	BE.HUNGRY			
36	Banawa	BEE	hiji	hiji	h i j i	h i j i	245	245	BEE			
304	Deni	BEE	hiji	hiji	h i j i	h i j i	245	245	BEE			
642	Jamamadi	BEE	hiji	hiji	h i j i	h i j i	245	245	BEE			
916	Jarawara	BEE	hiji	hiji	h i j i	h i j i	245	245	BEE			
1282	Kulina	BEE	hiji	hiji	h i j i	h i j i	245	245	BEE			
5000	Sorowaha	BEE	mukukʷa	mukukʷa	m u k u kʷ a	m u k u kʷ a	385	132	BEE			
37	Banawa	BELCH	dee	dee	d e e	d e - - e - -	364	358	BELCH			
306	Deni	BELCH	de	de	d e	d e - - - - -	364	364	BELCH			
918	Jarawara	BELCH	tee	tee	t e e	t e - - e - -	364	358	BELCH			
